	Arg	gold
323	actual cause	actual cause
324	adamschiffrocks	adamschiffrocks
325	addicts work inmates	addicts work inmates
326	additional cities beyond wuhan	additional cities beyond wuhan
327	adfiction nope opiate	adfiction nope opiate
328	administration	administration
329	administrators cdc	cdc
330	adults	adults
331	adults living nonmetropolitan u.s . counties	adults living nonmetropolitan u.s . counties
332	adults living nonmetropolitan u.s . counties drank sugar - sweetened beverages often	adults living nonmetropolitan u.s . counties drank sugar - sweetened beverages often
333	adverse vaccine reacti	a busy ped amt children i saw adverse vaccine reacti
334	advise	advise
335	advocates	advocates
336	aff	aff
337	affor	affor
338	afp	afp
339	afraid eat wild animals	afraid eat wild animals
340	african americans	african americans
341	africans	african americans
342	ag @pweiser	ag @pweiser
343	age happening overseas — the focus arc missions cdc — the children	age happening overseas — the focus arc missions cdc — the children
344	ago wuhan pneumonia infectious among human beings	ago wuhan pneumonia infectious among human beings
345	ahab	ahab
346	aids	hiv
347	air bubble cubicles	air bubble cubicles
348	air rail travel	air rail travel
349	air train service	air train service
350	airlines	airlines
351	airplane	airplane
352	airplanes	a plane
353	airplanes drop sort medicinal spray enti	airplanes drop sort medicinal spray enti
354	airpo	airpo
355	airport	atlanta airport
356	airport authorities	airlines
357	airport checks coronavirus	airport checks coronavirus
358	airport public transit	airport public transit
359	airport screening	screening passengers
360	airport screenings	screening passengers
361	airports	airlines
362	airports around world	atlanta airport
363	ala	ala
364	alarming aspects	alarming aspects
365	alarmist	alarmist
366	alcohol	alcohol
367	all	all
368	all - member briefing coronavirus outbreak	coronavirus
369	all - senators briefing	all - senators briefing
370	all adults	adults
371	all cdc recommended	all cdc recommended
372	all ihr criteria	all ihr criteria
373	all large - scale chinese new year celebrations canceled beijing try	all large - scale chinese new year celebrations canceled beijing try
374	all people public places	all people public places
375	all traffic coming china needs	all traffic coming china needs
376	all travelers	all travelers
377	all travelers from china	all travelers from china
378	all.trumpimpeachmenttrial ripeanut toonme	all.trumpimpeachmenttrial ripeanut toonme
379	alleged symptoms	alleged symptoms
380	allergy infectious diseases	allergy infectious diseases
381	allocating 1 billion yuan $ 144 mln funding hubei province	allocating 1 billion yuan $ 144 mln funding hubei province
382	allowing 7hrs outgoin	allowing 7hrs outgoin
383	almost 700k views	almost 700k views
384	am student	am student
385	amazon	amazon
386	ambulance fully protected medical staff	ambulance fully protected medical staff
387	america	america
388	america great first amendment	america great first amendment
389	america vulnerable epidemics	america vulnerable epidemics
390	american children	american children
391	american city	city
392	american evangelical medical missionary return home get tre	american evangelical medical missionary return home get tre
393	american publ	american publ
394	americans	america
395	americans returning f	americans returning f
396	amount	amount
397	an epidemic	epidemic
398	an epidemic anti - semitism	an epidemic anti - semitism
399	an epidemic glasses	an epidemic glasses
400	an outbreak coronavirus wuhan china	wuhan coronavirus
401	an outbreak new coronavirus china	wuhan coronavirus
402	analysis	analysis
403	analyst	analysis
404	anchors	anchors
405	angiotensin	angiotensin
406	angiotensin converting enzyme 2 ace2 receptor gain entry c	angiotensin converting enzyme 2 ace2 receptor gain entry c
407	animal coronavirus outbreak	coronavirus
408	animal coronavirus outbreak - coronovirus @prisonplanet	animal coronavirus outbreak - coronovirus @prisonplanet
409	animal markets	animal markets
410	animal markets touch animals handle animal products	animal markets touch animals handle animal products
411	animal person	animal person
412	animal products	animal markets
413	animal virus jumping humans point	animal virus jumping humans point
414	animals	animals
415	animals alive dead	animals alive dead
416	animals handle animal products	animal markets touch animals handle animal products
417	announce first us case wuhan coronavirus	announce first us case wuhan coronavirus
418	announcing * not * currently declare coronavirus outbreak	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
419	another case	another case
420	another clip	another clip
421	another epidemic	epidemic
422	another kind bat baseball bat	bat
423	another option hiv prevention	another option hiv prevention
424	another outbreak	outbreak
425	another patient	a single patient
426	another province	another province
427	another trip eagle land 's past @bham_museum	another trip eagle land 's past @bham_museum
428	another vaccine think ebola $ $ $ $ funnel	another vaccine think ebola $ $ $ $ funnel
429	another video	another clip
430	another video chat groups	another video chat groups
431	another video different angle - sealed moving box	another video different angle - sealed moving box
432	another virus	virus
433	another virus affect much	another virus affect much
434	antibiotics	antibiotics
435	antibiotics give body	antibiotics give body
436	antivax	antibiotics
437	antivax thinks bad idea make vaccines sars mers new ncov emerging	antivax thinks bad idea make vaccines sars mers new ncov emerging
438	anyone	anyone
439	anyone else	anyone else
440	anyone else following coronavirus outbreak wuhan	anyone else following coronavirus outbreak wuhan
441	anyone leave	leave
442	anyone taking wuhan coronavirus nearly seriously enough	anyone else following coronavirus outbreak wuhan
443	anything	everything
444	anything said	anything said
445	apology every child spend	apology every child spend
446	april	april
447	area flu vaccine	flu shot
448	areas affected coronavirus	areas affected coronavirus
449	armed police	armed police
450	armed police blocked passengers entering train	armed police blocked passengers entering train
451	around	around
452	around 11 million people	11 million people
453	around 300 people china	250 000 people
454	around 700 women die year related childbirth	around 700 women die year related childbirth
455	article	article
456	article @jslinneman	a @wsj reporter ’s first - person account
457	article china	chinese media
458	article important antibiotic resistance bacteria becoming mor	article important antibiotic resistance bacteria becoming mor
459	article written 16 years ago	article
460	as second chinese	as second chinese
461	asian	chinese
462	aspects	alarming aspects
463	aspects rapidly spreading wuhan virus	wuhan virus
464	assays	assays
465	assist wuhan china lockdown	assist wuhan china lockdown
466	asst	asst
467	at least 630 coronavirus cases	coronavirus confirmed us case
468	at least seven vaccines developed	a vaccine wuhan coronavirus
469	atlanta airport	atlanta airport
470	attem	attem
471	attention	attention
472	attention ideel members sylvia becker - dreps natalie bowman they 've wr	attention ideel members sylvia becker - dreps natalie bowman they 've wr
473	attention statements	attention statements
474	australia	australia
475	australian fire	australian fire
476	authenticity videos	authenticity videos
477	authoritarian gov't act decisive	authoritarian gov't act decisive
478	authorities	authorities
479	authorities 2 smartly contain latest deadly outbreak nih cdc 2 find vaccine 2 defe	authorities 2 smartly contain latest deadly outbreak nih cdc 2 find vaccine 2 defe
480	authorities withholding information coronavirus outbreak	authorities withholding information coronavirus outbreak
481	authors	authorities
482	autism - like symptoms - namely libey	autism - like symptoms - namely libey
483	autism like symptoms	autism - like symptoms - namely libey
484	autism underdiagnosed	autism - like symptoms - namely libey
485	available cdc available hospitals	cdc
486	avoid drama filmed stories generated media pay attention statements cdc	avoid drama filmed stories generated media pay attention statements cdc
487	avoid part lol	avoid part lol
488	avoid wuhan	avoid wuhan
489	avoiding flu generally applicable lot human diseases	avoiding flu generally applicable lot human diseases
490	avoiding nonessential wuhan travel	avoiding nonessential wuhan travel
491	avoiding problem	avoiding problem
492	award 2017 2018 world series titles dodgers	award 2017 2018 world series titles dodgers
493	awareness men ’s health month	awareness men ’s health month
494	awareness vaccine injury epidemic	awareness vaccine injury epidemic
495	b4 i 'll say it is immoral hide vital science behind paywall epidemic	b4 i 'll say it is immoral hide vital science behind paywall epidemic
496	babies	babies
497	baby	baby
498	baby ’s de	baby ’s de
499	back trump	back trump
500	bacon machine gun	bacon machine gun
501	bacon machine gun laced lead pb dust	bacon machine gun laced lead pb dust
502	bacteria viruses lab	bacteria viruses lab
503	bad idea	bad idea
504	bad idea make vaccines sars mers new ncov emerging	authorities 2 smartly contain latest deadly outbreak nih cdc 2 find vaccine 2 defe
505	bad one 's staying might also “ created	bad one 's staying might also “ created
506	basic epidemiological data	basic epidemiological data
507	bat	bat
508	bat soup	bat soup
509	bat soup hype	bat soup
510	bat soup pics	bat soup
511	bat soup sold wuhan market	bat soup sold wuhan market
512	bat soup sold wuhan market china	bat soup sold wuhan market
513	bat soup sold wuhan market it claimed deadly strain sh	bat soup sold wuhan market it claimed deadly strain sh
514	bat soup would good	bat soup
515	bats	bats
516	bats anima	bats anima
517	bats snakes	snakes
518	battle underage vaping	battle underage vaping
519	bbc reporting	breakingnews
520	bec 3 cities central china went lockdown curb spread deadly virus already claimed 17 lives	bec 3 cities central china went lockdown curb spread deadly virus already claimed 17 lives
521	become glob	become glob
522	begin conducting health screenings travelers arriving central china 5	begin conducting health screenings travelers arriving central china 5
523	behavior education	behavior education
524	beijing	beijing
525	beijing 's forbidden city	beijing
526	beijing prc it appears china writte	china
527	beijing wuhan ground zero growing epidemic	patients infected wuhan
528	beijing — and who authorities bend will	chinese authorities
529	beijing ’s response epidemic crisis	beijing ’s response epidemic crisis
530	beijing ’s response epidemic crisis improved ways	beijing ’s response epidemic crisis
531	benefits quitting	benefits quitting
532	bernie sanders	bernie sanders
533	best	best
534	best - practice model antibiotic stewardship	best - practice model antibiotic stewardship
535	best hospital wuhan	several wuhan hospitals
536	best information	best information
537	best practices	best practices
538	best thing jam hallw coronavirusoutbreak from relative wuhan	best thing jam hallw coronavirusoutbreak from relative wuhan
539	better prevention focus globally reducing	better prevention focus globally reducing
540	bfing till 2 years old	bfing till 2 years old
541	biases	biases
542	bieng	bieng
543	big	big
544	big data	big data
545	big negative consequences	big negative consequences
546	big pharma	big pharma
547	bill gates	bill gates
548	bill gates funding biotechs scrambling develop vaccines deadly wuhan c	bill gates funding biotechs scrambling develop vaccines deadly wuhan c
549	binge drinking	alcohol
550	bio - lab	bio - lab
551	bio lab	bio - lab
552	biological weapo	biological weapo
553	biologically uninformed science idio	biologically uninformed science idio
554	biotechnology	bio - lab
555	biotechs	bio - lab
556	bird flu sars	bird flu sars
557	bird flu sars influenza a	bird flu sars
558	bird flu sars influenza a swine fever	bird flu sars
559	bird flu sars influenza a swine fever rest	bird flu sars
560	birth defects	birth defects
561	bizarre hour	bizarre hour
562	black doctor	black doctor
563	black doctor worked cdc whistleblew flu shot actual cause	black doctor worked cdc whistleblew flu shot actual cause
564	blacklung	blacklung
565	blackpink fans	blackpink fans
566	blatant lies	blatant lies
567	blocked cdc researching	blocked cdc researching
568	blue collar work	work
569	body	body
570	body - shaming buzzwords fueling mental health epidemic highly profitab	body - shaming buzzwords fueling mental health epidemic highly profitab
571	bone spur boob	bone spur boob
572	booster	booster
573	borders	borders
574	bordetella pertussis mutation learntherisk	bordetella pertussis mutation learntherisk
575	both cdc guttmacher	both cdc guttmacher
576	bots	bots
577	boudica	boudica
578	bout this i mean wth wrong us yaar this disease cam	bout this i mean wth wrong us yaar this disease cam
579	brain damage birth	brain damage birth
580	brain drain	brain drain
581	brandon brown tells	brandon brown tells
582	bravo @stephgosk	bravo @stephgosk
583	brazos	brazos
584	brazos county health official patient student	county health district
585	brazos county texas - the new york times	brazos county texas - the new york times
586	breaking - health official	breaking - health official
587	breaking a world health organization emergency cmte	a world health organization emergency committee
588	breaking beijing	breaking beijing
589	breaking cab	breaking cab
590	breaking cdc	cdc
591	breaking china	breaking beijing
592	breaking china 's wuhan coronavirus disease control authority	wuhan coronavirus
593	breaking chinese city	breaking beijing
594	breaking civil aeronautics board	breaking civil aeronautics board
595	breaking coronavirus death toll	breaking coronavirus death toll
596	breaking health ministry	breaking - health official
597	breaking health officials brazos county	county health district
598	breaking new coronavirus	coronavirus
599	breaking new video out of wuhan china	a video shared resident wuhan
600	breaking new video wuhan	a video shared resident wuhan
601	breaking one wuhan resident	breaking beijing
602	breaking singapore macau	breaking singapore macau
603	breaking the chinese quarantine cities	breaking the chinese quarantine cities
604	breaking the patient recently traveled wuhan china illness	breaking the patient recently traveled wuhan china illness
605	breaking u.s . issues travel warning china amid coronavirus outbreak	breaking u.s . issues travel warning china amid coronavirus outbreak
606	breaking wuhan china halts travel city corona disease	breaking wuhan china halts travel city corona disease
607	breaking wuhan coronavirus	breaking wuhan coronavirus
608	breakingnews	breakingnews
609	breastcancer 2️⃣ 0️⃣ 2️⃣	breastcancer 2️⃣ 0️⃣ 2️⃣
610	breastcancer 2️⃣ 0️⃣ 2️⃣ 0️⃣ start learning family health history	breastcancer 2️⃣ 0️⃣ 2️⃣ 0️⃣ start learning family health history
611	breath	breath
612	build brand new hospital within week chinese new ye	build brand new hospital within week chinese new ye
613	build hospital within six days wuhan deal coronovirus cases 30.527219 114.0886	build hospital within six days wuhan deal coronovirus cases 30.527219 114.0886
614	building ✨	🚨
615	buses	buses
616	bush airport post flyer	bush airport post flyer
617	business traveler @cdc	business traveler @cdc
618	busta rhymes	busta rhymes
619	buy n95 masks according story	buy n95 masks according story
620	buzzwords	buzzwords
621	byrne jeff niederdeppe	byrne jeff niederdeppe
622	caixin	caixin
623	caixin “ conservative estimate ” number people infected th	caixin “ conservative estimate ” number people infected th
624	call cdc suddenly appeared gowns facemasks longer laughing	call cdc suddenly appeared gowns facemasks longer laughing
625	calls “ rumors	calls “ rumors
626	cambodia rice	cambodia rice
627	campus tuesday	campus tuesday
628	canada	america
629	canada health minister patty hajdu	canada health minister patty hajdu
630	canadian deer hunters	canadian deer hunters
631	canadians	america
632	cancel trip china	cancel trip china
633	cancellation chinese new year celebrations amid coronavirus outbreak - report	all large - scale chinese new year celebrations canceled beijing try
634	cancer patients	cancer patients
635	cannabis legalization	cannabis legalization
636	capacity	capacity
637	car	car
638	care	care
639	case	case
640	case coronavirus killed 17 china	case coronavirus killed 17 china
641	case coronavirus killed 9 china	case coronavirus killed 17 china
642	case coronavirus killed 9 china @cnbc	case coronavirus killed 17 china
643	cases	case
644	cases within china	cases within china
645	cases wuhan virus	wuhan virus
646	casinos	casinos
647	cause panic it ’s responsibility inform public we ’re deep pickle	cause panic it ’s responsibility inform public we ’re deep pickle
648	cause unknown known treatment	cause unknown known treatment
649	causes gun violence	causes gun violence
650	ccp	afp
651	ccp ha	ccp ha
652	ccp use masks	1 layer mask
653	cdc	cdc
654	cdc @cdcemergency	cdc
655	cdc agency steps g	cdc
656	cdc brownsville	cdc
657	cdc confirmed first u.s . case coronav	coronavirus confirmed us case
