	gold	narrative	brc	sum	ARG0	va_key	ARG1
72	60 % chance flu season peaked ** IMPLY ** th	flu forecasting experts @cdcflu ** AFFIRM ** 60 % chance flu season peaked does n’t mean th	617	2	60 % chance flu season peaked	IMPLY	th
73	7 studios ** MOUNT_ASSEMBLE_PRODUCE ** year 's best picture oscar nominees given $ 4 241 750 nra - backed	7 studios ** MOUNT_ASSEMBLE_PRODUCE ** year 's best picture oscar nominees given $ 4 241 750 nra - backed	1578	2	7 studios	MOUNT_ASSEMBLE_PRODUCE	year 's best picture oscar nominees given $ 4 241 750 nra - backed
74	7 studios ** MOUNT_ASSEMBLE_PRODUCE ** year 's best picture oscar nominees given $ 4 241 750 nra - backed	picture oscar nominees ** GIVE_GIFT ** $ 4 241 750 nra - backed	1578	2	7 studios	MOUNT_ASSEMBLE_PRODUCE	year 's best picture oscar nominees given $ 4 241 750 nra - backed
75	80 kilometers ** SECURE_FASTEN_TIE ** due risks associated	80 kilometers ** SECURE_FASTEN_TIE ** due risks associated	398	1	80 kilometers	SECURE_FASTEN_TIE	due risks associated
76	80yo patient hebei province ** KILL ** virus	80yo patient hebei province ** KILL ** virus	723	1	80yo patient hebei province	KILL	virus
77	93 % cervical cancers ** PRECLUDE_FORBID_EXPEL ** screening hpv vaccination	93 % cervical cancers ** PRECLUDE_FORBID_EXPEL ** screening hpv vaccination	1513	1	93 % cervical cancers	PRECLUDE_FORBID_EXPEL	screening hpv vaccination
78	97 % young people ** RESIGN_RETIRE ** use flavo	97 % young people ** RESIGN_RETIRE ** use flavo	1172	1	97 % young people	RESIGN_RETIRE	use flavo
79	@_davidasher ** COOK ** dogs	@_davidasher ** COOK ** dogs	591	2	@_davidasher	COOK	dogs
80	@_davidasher ** COOK ** dogs	@_davidasher ** STOP ** cooking dogs alive wuhan	591	2	@_davidasher	COOK	dogs
81	@angela_bower ** HEAR_LISTEN ** thinking destroying cdc samples russian	@angela_bower ** HEAR_LISTEN ** thinking destroying cdc samples russian	1514	3	@angela_bower	HEAR_LISTEN	thinking destroying cdc samples russian
82	@angela_bower ** HEAR_LISTEN ** thinking destroying cdc samples russian	@angela_bower ** THINK ** destroying cdc samples russian	1514	3	@angela_bower	HEAR_LISTEN	thinking destroying cdc samples russian
83	@angela_bower ** HEAR_LISTEN ** thinking destroying cdc samples russian	@cdcgov ** MUST ** ta love russia issues travel ban province mandatory screenings cdc sits ass	1514	3	@angela_bower	HEAR_LISTEN	thinking destroying cdc samples russian
84	@basedpoland ccp ** STOP ** chinese city	@basedpoland ccp ** STOP ** chinese city	272	2	@basedpoland ccp	STOP	chinese city
85	@bradjorgensen8 cdc ** POSSESS ** patents vaccines would n't conflict interest	@bradjorgensen8 cdc ** POSSESS ** patents vaccines would n't conflict interest	592	1	@bradjorgensen8 cdc	POSSESS	patents vaccines would n't conflict interest
86	@calicobayfarm ** ANSWER ** @calicobayfarm	@calicobayfarm ** ANSWER ** @calicobayfarm	1662	1	@calicobayfarm	ANSWER	@calicobayfarm
87	@caluvsdogs @cdcgov great resource look information link ** DECREE_DECLARE ** useful	@caluvsdogs @cdcgov great resource look information link ** DECREE_DECLARE ** useful	1590	1	@caluvsdogs @cdcgov great resource look information link	DECREE_DECLARE	useful
88	@carlvphillips ** RESULT_CONSEQUENCE ** epidemic student loan debt	@carlvphillips ** RESULT_CONSEQUENCE ** epidemic student loan debt	1727	1	@carlvphillips	RESULT_CONSEQUENCE	epidemic student loan debt
89	@cdc_ncbddd 's wednesdaythoughts ** SHOW ** expecting mothers help preve a9 taking care what ’s best also best developing baby check cdc ’s 5	@cdc_ncbddd 's wednesdaythoughts ** SHOW ** expecting mothers help preve a9 taking care what ’s best also best developing baby check cdc ’s 5	1488	3	@cdc_ncbddd 's wednesdaythoughts	SHOW	expecting mothers help preve a9 taking care what ’s best also best developing baby check cdc ’s 5
90	@cdc_ncbddd 's wednesdaythoughts ** SHOW ** expecting mothers help preve a9 taking care what ’s best also best developing baby check cdc ’s 5	expecting mothers ** HELP_HEAL_CARE_CURE ** preve a9 taking care what ’s best also best developing baby check cdc ’s 5	1488	3	@cdc_ncbddd 's wednesdaythoughts	SHOW	expecting mothers help preve a9 taking care what ’s best also best developing baby check cdc ’s 5
91	@cdc_ncbddd 's wednesdaythoughts ** SHOW ** expecting mothers help preve a9 taking care what ’s best also best developing baby check cdc ’s 5	pregnant ** LEARN ** tips healthy pregnancy giving baby best start life	1488	3	@cdc_ncbddd 's wednesdaythoughts	SHOW	expecting mothers help preve a9 taking care what ’s best also best developing baby check cdc ’s 5
92	@cdcenvironment ** PROTECT ** family winter learning	@cdcenvironment ** PROTECT ** family winter learning	1728	1	@cdcenvironment	PROTECT	family winter learning
93	@cdcgov ** AFFIRM ** viral suppression synonymous uequalsu 100 % effective viral suppression powerful tool endhivepidemic	@cdcgov ** AFFIRM ** viral suppression synonymous uequalsu 100 % effective viral suppression powerful tool endhivepidemic	648	1	@cdcgov	AFFIRM	viral suppression synonymous uequalsu 100 % effective viral suppression powerful tool endhivepidemic
94	@cdcgov ** ANALYZE ** travelers wuhan american airports	@bnonews ** DIRECT_AIM_MANEUVER ** second city going lockdown huanggang population 6 million	223	3	@cdcgov	ANALYZE	travelers wuhan american airports
95	@cdcgov ** ANALYZE ** travelers wuhan american airports	@cdcgov ** ANALYZE ** travelers wuhan american airports	223	3	@cdcgov	ANALYZE	travelers wuhan american airports
96	@cdcgov ** BEGIN ** keepi	@cdcgov ** BEGIN ** keepi	1591	1	@cdcgov	BEGIN	keepi
97	@cdcgov ** CREATE_MATERIALIZE ** best - practice model antibiotic stewardship	@cdcgov ** CREATE_MATERIALIZE ** best - practice model antibiotic stewardship	1063	1	@cdcgov	CREATE_MATERIALIZE	best - practice model antibiotic stewardship
98	@cdcgov ** LEARN ** coronavirusoutbreak	@cdcgov ** LEARN ** coronavirusoutbreak	600	3	@cdcgov	LEARN	coronavirusoutbreak
99	@cdcgov ** LEARN ** coronavirusoutbreak	coronavirusoutbreak ** TEACH ** anything	600	3	@cdcgov	LEARN	coronavirusoutbreak
100	@cdcgov ** LEARN ** coronavirusoutbreak	deadly coronavirus ** RESULT_CONSEQUENCE ** soup	600	3	@cdcgov	LEARN	coronavirusoutbreak
101	@cdcgov ** SPEAK ** grade ii public health emergency response wuhan	@cdcgov ** SPEAK ** grade ii public health emergency response wuhan	601	2	@cdcgov	SPEAK	grade ii public health emergency response wuhan
102	@cdcgov ** SPEAK ** grade ii public health emergency response wuhan	cornell ** DECREE_DECLARE ** work local state resources monitor wuhan coronavirus campus	601	2	@cdcgov	SPEAK	grade ii public health emergency response wuhan
103	@charissefarah yesterday who declined classify outbreak public health emergency ** AFFIRM ** would	@charissefarah yesterday who declined classify outbreak public health emergency ** AFFIRM ** would	660	2	@charissefarah yesterday who declined classify outbreak public health emergency	AFFIRM	would
104	@charissefarah yesterday who declined classify outbreak public health emergency ** AFFIRM ** would	@jackposobiec cdc website ** AFFIRM ** worse flu	660	2	@charissefarah yesterday who declined classify outbreak public health emergency	AFFIRM	would
105	@cnn @drtedros u.s . cdc ** SEARCH ** emergency approval	@cnn @drtedros u.s . cdc ** SEARCH ** emergency approval	1294	2	@cnn @drtedros u.s . cdc	SEARCH	emergency approval
106	@cnn @drtedros u.s . cdc ** SEARCH ** emergency approval	@dhsgov ** VERIFY ** available cdc available hospitals	1294	2	@cnn @drtedros u.s . cdc	SEARCH	emergency approval
107	@dcist ** SEEM ** like e - scooter epidemic	@dcist ** SEEM ** like e - scooter epidemic	1729	1	@dcist	SEEM	like e - scooter epidemic
108	@drleanawen governments ** REQUIRE_NEED_WANT_HOPE ** people ’s trust stop outbreak	@drleanawen governments ** REQUIRE_NEED_WANT_HOPE ** people ’s trust stop outbreak	1663	3	@drleanawen governments	REQUIRE_NEED_WANT_HOPE	people ’s trust stop outbreak
109	@drleanawen governments ** REQUIRE_NEED_WANT_HOPE ** people ’s trust stop outbreak	@jackposobiec ** AFFIRM ** current outbreak engineered	1663	3	@drleanawen governments	REQUIRE_NEED_WANT_HOPE	people ’s trust stop outbreak
110	@drleanawen governments ** REQUIRE_NEED_WANT_HOPE ** people ’s trust stop outbreak	@realdonaldtrump ** REDUCE_DIMINISH ** outbreak	1663	3	@drleanawen governments	REQUIRE_NEED_WANT_HOPE	people ’s trust stop outbreak
111	@drtedros ** ATTEND ** the emergency committee	@drtedros ** ATTEND ** the emergency committee	1261	1	@drtedros	ATTEND	the emergency committee
112	@drtedros ** MOUNT_ASSEMBLE_PRODUCE ** mistake	@drtedros ** MOUNT_ASSEMBLE_PRODUCE ** mistake	1647	10	@drtedros	MOUNT_ASSEMBLE_PRODUCE	mistake
113	@drtedros ** MOUNT_ASSEMBLE_PRODUCE ** mistake	@howroute ** MOUNT_ASSEMBLE_PRODUCE ** difference whatsoever	1647	10	@drtedros	MOUNT_ASSEMBLE_PRODUCE	mistake
114	@drtedros ** MOUNT_ASSEMBLE_PRODUCE ** mistake	i ** MOUNT_ASSEMBLE_PRODUCE ** po	1647	10	@drtedros	MOUNT_ASSEMBLE_PRODUCE	mistake
115	@drtedros ** MOUNT_ASSEMBLE_PRODUCE ** mistake	i ** MOUNT_ASSEMBLE_PRODUCE ** video explaining th	1647	10	@drtedros	MOUNT_ASSEMBLE_PRODUCE	mistake
116	@drtedros ** MOUNT_ASSEMBLE_PRODUCE ** mistake	it ** MOUNT_ASSEMBLE_PRODUCE ** epid	1647	10	@drtedros	MOUNT_ASSEMBLE_PRODUCE	mistake
117	@drtedros ** MOUNT_ASSEMBLE_PRODUCE ** mistake	that ** MOUNT_ASSEMBLE_PRODUCE ** sense	1647	10	@drtedros	MOUNT_ASSEMBLE_PRODUCE	mistake
118	@drtedros ** MOUNT_ASSEMBLE_PRODUCE ** mistake	who ** MOUNT_ASSEMBLE_PRODUCE ** mistake	1647	10	@drtedros	MOUNT_ASSEMBLE_PRODUCE	mistake
119	@drtedros ** PREPARE ** new coronavirus 17	@drtedros ** PREPARE ** new coronavirus 17	1021	2	@drtedros	PREPARE	new coronavirus 17
120	@drtedros ** SATISFY_FULFILL ** international health regulations	@drtedros ** SATISFY_FULFILL ** international health regulations	1405	1	@drtedros	SATISFY_FULFILL	international health regulations
121	@ericrubinlab wuhan virus ** GIVE_GIFT ** outbreak china	@ericrubinlab wuhan virus ** GIVE_GIFT ** outbreak china	593	2	@ericrubinlab wuhan virus	GIVE_GIFT	outbreak china
122	@ericrubinlab wuhan virus ** GIVE_GIFT ** outbreak china	@wongtafuk ** LIBERATE_ALLOW_AFFORD ** 's bet whether zombies would infected wuhancoronavirus 🥴 zombies might think	593	2	@ericrubinlab wuhan virus	GIVE_GIFT	outbreak china
123	@eviljohnsavage @kajundo ** THINK ** timing impeachment suddenly	@eviljohnsavage @kajundo ** THINK ** timing impeachment suddenly	1664	1	@eviljohnsavage @kajundo	THINK	timing impeachment suddenly
124	@freaks_hhn ** FIND ** hard way beef jerky culprit zombie outbreak	@freaks_hhn ** FIND ** hard way beef jerky culprit zombie outbreak	1559	1	@freaks_hhn	FIND	hard way beef jerky culprit zombie outbreak
125	@indopac_info ** APPROVE_PRAISE ** china measures	@indopac_info ** APPROVE_PRAISE ** china measures	318	1	@indopac_info	APPROVE_PRAISE	china measures
126	@jack ** REQUIRE_NEED_WANT_HOPE ** edit function	@jack ** REQUIRE_NEED_WANT_HOPE ** edit function	1689	2	@jack	REQUIRE_NEED_WANT_HOPE	edit function
127	@jack ** REQUIRE_NEED_WANT_HOPE ** edit function	@nikkisixx ** REQUIRE_NEED_WANT_HOPE ** step up	1689	2	@jack	REQUIRE_NEED_WANT_HOPE	edit function
128	@jackposobiec ** FORGET ** mexico	@jackposobiec ** FORGET ** mexico	1130	1	@jackposobiec	FORGET	mexico
129	@jackposobiec ** INCITE_INDUCE ** wonder it appears chinese gov wiped evidence first case scene cdc can	@jackposobiec ** INCITE_INDUCE ** wonder it appears chinese gov wiped evidence first case scene cdc can	1406	1	@jackposobiec	INCITE_INDUCE	wonder it appears chinese gov wiped evidence first case scene cdc can
130	@jackposobiec ** THINK ** it appears chinese gov wiped evidence first case scene cdc can	@jackposobiec ** THINK ** it appears chinese gov wiped evidence first case scene cdc can	661	3	@jackposobiec	THINK	it appears chinese gov wiped evidence first case scene cdc can
131	@jackposobiec ** THINK ** it appears chinese gov wiped evidence first case scene cdc can	china cdc concerns ** CAUSE-MENTAL-STATE ** me	661	3	@jackposobiec	THINK	it appears chinese gov wiped evidence first case scene cdc can
132	@jackposobiec ** THINK ** it appears chinese gov wiped evidence first case scene cdc can	chinese gov ** MOVE-SOMETHING ** evidence first case scene cdc can	661	3	@jackposobiec	THINK	it appears chinese gov wiped evidence first case scene cdc can
133	@jordan_sather ** SEE ** waiting cdc say millions dollars needed fight virus	@jordan_sather ** SEE ** waiting cdc say millions dollars needed fight virus	884	3	@jordan_sather	SEE	waiting cdc say millions dollars needed fight virus
134	@jordan_sather ** SEE ** waiting cdc say millions dollars needed fight virus	millions dollars ** REQUIRE_NEED_WANT_HOPE ** fight virus	884	3	@jordan_sather	SEE	waiting cdc say millions dollars needed fight virus
135	@jordan_sather ** SEE ** waiting cdc say millions dollars needed fight virus	waiting cdc ** AFFIRM ** millions dollars needed fight virus	884	3	@jordan_sather	SEE	waiting cdc say millions dollars needed fight virus
136	@kokomothegreat ** NEGOTIATE ** brain damage birth	@kokomothegreat ** NEGOTIATE ** brain damage birth	1730	1	@kokomothegreat	NEGOTIATE	brain damage birth
137	@lauren_g411 ** BRING ** n95 ya	@lauren_g411 ** BRING ** n95 ya	1592	2	@lauren_g411	BRING	n95 ya
138	@lauren_g411 ** BRING ** n95 ya	@nfrechen ** SEE ** you	1592	2	@lauren_g411	BRING	n95 ya
